id,name,county,state_code,state,zip_codes,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone
5997,Ackley,Hardin County/Franklin County,IA,Iowa,50601,City,42.5517,-93.05227,641,1550,658,45000,6345496,87634,America/Chicago
5998,Ackworth,Warren County,IA,Iowa,50001,City,41.36694,-93.47271,515,83,14,65000,756303,0,America/Chicago
5999,Adair,Adair County/Guthrie County,IA,Iowa,50002,City,41.50015,-94.64295,641,752,400,45000,5692351,43131,America/Chicago
6000,Adel,Dallas County,IA,Iowa,50003,City,41.61443,-94.01745,515,4171,1664,53670,12193513,45774,America/Chicago
6001,Afton,Union County,IA,Iowa,50830,City,41.02749,-94.19801,641,842,398,37917,2555195,0,America/Chicago
6002,Agency,Wapello County,IA,Iowa,52530,City,40.99502,-92.30685,641,636,307,39821,1683184,0,America/Chicago
6003,Ainsworth,Washington County,IA,Iowa,52201,City,41.28891,-91.55238,319,568,189,49750,968090,0,America/Chicago
6004,Akron,Plymouth County,IA,Iowa,51001,City,42.82888,-96.55948,712,1456,606,45000,3204051,0,America/Chicago
6005,Albert City,Buena Vista County,IA,Iowa,50510,City,42.78192,-94.9486,712,700,281,46250,1410863,0,America/Chicago
6006,Albia,Monroe County,IA,Iowa,52531,City,41.02667,-92.80575,641,3782,1570,43019,8252356,0,America/Chicago
6007,Albion,Marshall County,IA,Iowa,50005,City,42.11249,-92.98853,641,469,167,49375,1541417,0,America/Chicago
6008,Alburnett,Linn County,IA,Iowa,52202,City,42.14833,-91.61851,319,690,222,61250,2119208,6646,America/Chicago
6009,Alden,Hardin County,IA,Iowa,50006,City,42.52026,-93.37604,515,763,312,44167,4424406,39849,America/Chicago
6010,Alexander,Franklin County,IA,Iowa,50420,City,42.8058,-93.47659,641,172,70,28750,11054932,0,America/Chicago
6011,Algona,Kossuth County,IA,Iowa,50511,City,43.06997,-94.23302,515,5479,2547,46994,11654201,16085,America/Chicago
6012,Alleman,Polk County,IA,Iowa,50007,City,41.81999,-93.61161,515,438,206,71944,6995552,0,America/Chicago
6013,Allerton,Wayne County,IA,Iowa,50008,City,40.7064,-93.36521,641,497,233,36397,2948535,1619,America/Chicago
6014,Allison,Butler County,IA,Iowa,50602,City,42.75275,-92.79519,319,1034,433,49345,7593442,0,America/Chicago
6015,Alta,Buena Vista County,IA,Iowa,51002,City,42.67359,-95.29055,712,1952,785,40781,2791436,0,America/Chicago
6016,Alta Vista,Chickasaw County,IA,Iowa,50603,City,43.19858,-92.41712,641,263,132,39000,1957220,0,America/Chicago
6017,Alton,Sioux County,IA,Iowa,51003,City,42.98749,-96.01057,712,1256,465,57396,4781013,0,America/Chicago
6018,Altoona,Polk County,IA,Iowa,50009,City,41.64416,-93.46466,515,16105,5840,66172,24219206,0,America/Chicago
6019,Alvord,Lyon County,IA,Iowa,51230,City,43.3422,-96.30114,712,193,71,46875,712754,0,America/Chicago
6020,Amana,Iowa County,IA,Iowa,"52203, 52204",CDP,41.80001,-91.87073,319,356,172,56964,2917043,0,America/Chicago
6021,Ames,Story County,IA,Iowa,"50010, 50011, 50012, 50013, 50014",City,42.03471,-93.61994,515,63266,23077,42714,64774194,521634,America/Chicago
6022,Anamosa,Jones County,IA,Iowa,52205,City,42.10834,-91.28516,319,5425,1854,45000,6529612,23963,America/Chicago
6023,Anderson,Fremont County,IA,Iowa,51652,CDP,40.80139,-95.60416,712,37,13,42034,851814,0,America/Chicago
6024,Andover,Clinton County,IA,Iowa,52701,City,41.97919,-90.2518,563,100,34,58750,496217,0,America/Chicago
6025,Andrew,Jackson County,IA,Iowa,52030,City,42.15363,-90.59235,563,424,157,40781,690480,0,America/Chicago
6026,Anita,Cass County,IA,Iowa,50020,City,41.44527,-94.7647,712,957,445,38661,4606516,0,America/Chicago
6027,Ankeny,Polk County,IA,Iowa,"50021, 50023",City,41.72971,-93.60577,515,53801,18388,74077,76091405,0,America/Chicago
6028,Anthon,Woodbury County,IA,Iowa,51004,City,42.38832,-95.86668,712,565,298,35938,1828415,0,America/Chicago
6029,Aplington,Butler County,IA,Iowa,50604,City,42.58415,-92.88436,319,1120,441,49028,2156758,0,America/Chicago
6030,Arcadia,Carroll County,IA,Iowa,51430,City,42.08721,-95.0461,712,471,193,57321,2549298,0,America/Chicago
6031,Archer,O'Brien County,IA,Iowa,51231,City,43.11526,-95.74585,712,128,50,48000,243141,0,America/Chicago
6032,Aredale,Butler County,IA,Iowa,50605,City,42.83303,-93.00547,641,74,37,27250,2569353,0,America/Chicago
6033,Arion,Crawford County,IA,Iowa,51520,City,41.94916,-95.46361,712,108,56,32813,1229681,0,America/Chicago
6034,Arispe,Union County,IA,Iowa,50830,City,40.94944,-94.21912,641,100,28,30833,1338961,3486,America/Chicago
